 10 ,-1 
 0 , 5624.3543 , 1 
 15 , 5570.759 , 1 
 30 , 5510.4611 , 1 
 45 , 5442.2064 , 1 
 60 , 5368.1362 , 1 
 75 , 5284.9953 , 1 
 90 , 5189.5183 , 1 
 105 , 5090.2679 , 1 
 120 , 4973.4195 , 1 
 135 , 4856.6287 , 1 
