 9 ,-1 
 0 , 5532.1276 , 1 
 15 , 5456.38 , 1 
 30 , 5397.7287 , 1 
 45 , 5329.8722 , 1 
 60 , 5230.8704 , 1 
 75 , 5163.5306 , 1 
 90 , 5086.2709 , 1 
 105 , 4938.5045 , 1 
 120 , 4801.1298 , 1 
