 9 ,-1 
 0 , 4848.4471 , 1 
 11 , 4983.4688 , 1 
 26 , 5127.5646 , 1 
 41 , 5237.5457 , 1 
 56 , 5315.1249 , 1 
 71 , 5384.9442 , 1 
 86 , 5430.0658 , 1 
 101 , 5474.6176 , 1 
 116 , 5510.4611 , 1 
