 9 ,-1 
 0 ,-92.2267 , 1 
 15 ,-114.379 , 1 
 30 ,-112.7325 , 1 
 45 ,-112.3342 , 1 
 60 ,-137.2659 , 1 
 75 ,-121.4647 , 1 
 90 ,-103.2474 , 1 
 105 ,-151.7634 , 1 
 120 ,-172.2897 , 1 
