 9 ,-1 
 0 , 4855.2659 , 1 
 11 , 5077.6096 , 1 
 26 , 5208.1866 , 1 
 41 , 5302.3979 , 1 
 56 , 5383.599 , 1 
 71 , 5428.7173 , 1 
 86 , 5486.1085 , 1 
 101 , 5520.6151 , 1 
 116 , 5551.7767 , 1 
