Solaranlage01,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal
39995.00347200000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.51,59.57,49.97,49.97,25.52,22.42,24.5,24.62,23.87,25.4,23.7,22.6,25.98,17.77,49.9,53.5,30.02,34.61,37.72,810,55972,54,51,41,45,56306
39995.00694400000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.44,59.57,49.97,49.97,25.25,22.27,24.35,24.25,23.7,25.2,23.47,22.35,25.74,17.55,49.72,53.4,30.02,34.45,37.54,810,55972,54,51,41,44,56306
39995.01041700000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.44,59.57,49.97,49.97,25.12,22.12,24.2,24.4,23.52,25.02,23.25,22.17,25.49,17.36,49.54,53.24,30.02,34.45,37.36,810,55972,54,51,41,44,56306
39995.01388900000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.51,59.57,49.97,49.97,24.8,22.07,24,26.85,23.37,24.9,23,22,25.41,17.21,49.38,53.24,30.02,34.27,37.28,810,55972,54,51,41,44,56306
39995.01736100000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.44,59.57,49.97,49.97,24.8,21.85,24,29.3,23.3,24.82,22.9,21.92,25.32,17.04,49.28,53.06,30,34.2,37.2,810,55972,53,50,40,44,56306
39995.02083300000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.51,59.68,49.9,49.9,24.7,21.5,23.9,30.05,23.17,24.7,22.7,21.75,25.19,16.87,49.12,52.99,30,34.09,37.02,810,55972,53,50,40,44,56306
39995.02430600000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.44,59.57,49.9,49.9,24.57,21.3,23.8,30.4,23.1,24.6,22.42,21.7,25.08,16.83,49.02,52.88,30.02,34.02,36.84,810,55972,53,50,40,44,56306
39995.02777800000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.44,59.57,49.9,49.9,24.62,21.2,23.87,30.35,23.05,24.57,22.5,21.6,25.08,16.73,48.87,52.81,30.02,33.94,36.77,810,55972,53,40,40,43,56306
39995.03125000000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.44,59.68,49.9,49.9,24.72,21.2,23.97,30.07,23.07,24.5,22.42,21.45,24.88,16.58,48.76,52.73,30.02,33.83,36.69,810,55972,53,40,40,43,56306
39995.03472200000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.44,59.68,49.9,49.9,24.5,21.35,23.97,29.8,23,24.37,22.35,21.32,24.75,16.53,48.61,52.63,30.02,33.76,36.59,810,55972,53,40,40,43,56306
39995.03819400000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.44,59.68,49.79,49.79,24.37,21.7,23.92,29.32,23.02,24.4,22.3,21.42,24.86,16.6,48.43,52.55,30.02,33.76,36.43,810,55972,53,49,30,43,56306
39995.04166700000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.44,59.68,49.79,49.79,24.22,21.95,24,28.97,23.05,24.25,22.35,21.2,24.94,16.5,48.35,52.47,30.02,33.68,36.33,810,55972,53,49,30,43,56306
39995.04513900000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.68,49.79,49.79,24.2,22.12,23.9,28.4,23,24.2,22.4,21.17,24.86,16.5,48.25,52.37,30.02,33.58,36.25,810,55972,53,49,30,43,56306
39995.04861100000,0,1136,2.86,0,0,1055,0,1,987,84.47,83.44,59.68,49.79,49.79,24.17,22.15,23.8,27.55,22.92,24.2,22.2,21.2,24.77,16.49,48.09,52.29,30,33.5,36.17,810,55972,52,49,39,43,56306
39995.05208300000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.68,49.79,49.79,24.1,22.1,23.75,26.82,22.85,24.17,22.2,21.1,24.77,16.41,47.91,52.21,30,33.42,35.99,810,55972,52,49,39,43,56306
39995.05555600000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.68,49.72,49.72,23.82,22.02,23.77,26.45,22.85,24.02,21.87,20.97,24.44,16.24,47.84,52.11,30,33.42,35.92,810,55972,52,49,39,43,56306
39995.05902800000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.68,49.72,49.72,23.57,21.92,23.42,25.7,22.7,23.87,21.77,20.77,24.31,16.07,47.66,52.03,30,33.32,35.74,810,55972,52,48,39,42,56306
39995.06250000000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.68,49.72,49.72,23.45,21.82,23.52,25.4,22.6,23.77,21.7,20.6,24.22,16.05,47.58,51.96,30,33.24,35.66,810,55972,52,48,39,42,56306
