 9 ,-1 
 15 , 5114.9114 , 1 
 30 , 5150.2084 , 1 
 45 , 5184.8527 , 1 
 60 , 5218.1919 , 1 
 75 , 5234.2078 , 1 
 90 , 5260.2554 , 1 
 105 , 5262.2603 , 1 
 120 , 5254.91 , 1 
 135 , 5246.8941 , 1 
