 9 ,-1 
 15 , 5075.6106 , 1 
 30 , 5112.9135 , 1 
 45 , 5155.537 , 1 
 60 , 5180.8541 , 1 
 75 , 5210.1874 , 1 
 90 , 5237.5457 , 1 
 105 , 5238.881 , 1 
 120 , 5226.1987 , 1 
 135 , 5224.1968 , 1 
