 10 ,-1 
 0 ,-38.0646 , 1 
 15 ,-77.3062 , 1 
 30 ,-65.2699 , 1 
 45 ,-82.5953 , 1 
 60 ,-76.6419 , 1 
 75 ,-55.3529 , 1 
 90 ,-74.0697 , 1 
 105 ,-64.7425 , 1 
 120 ,-58.0589 , 1 
 135 ,-75.3688 , 1 
