 10 ,-1 
 0 , 5004.211 , 1 
 15 , 5037.6052 , 1 
 30 , 5084.9385 , 1 
 45 , 5102.2575 , 1 
 60 , 5141.55 , 1 
 75 , 5178.8549 , 1 
 90 , 5186.1857 , 1 
 105 , 5197.5178 , 1 
 120 , 5196.8511 , 1 
 135 , 5171.5253 , 1 
