 9 , 0 
 15 , 61.9435 , 1 
 30 , 70.6063 , 1 
 45 , 69.9944 , 1 
 60 , 79.4014 , 1 
 75 , 70.1251 , 1 
 90 , 64.8522 , 1 
 105 , 49.4598 , 1 
 120 , 55.4517 , 1 
 135 , 45.4163 , 1 
