 7 ,-1 
 10 , 5319.1458 , 1 
 25 , 5232.8728 , 1 
 40 , 5149.5423 , 1 
 55 , 5044.9439 , 1 
 70 , 4968.7266 , 1 
 85 , 4841.619 , 1 
 100 , 4663.3463 , 1 
