 7 ,-1 
 10 ,-131.8336 , 1 
 25 ,-157.4532 , 1 
 40 ,-148.1687 , 1 
 55 ,-159.9083 , 1 
 70 ,-141.5229 , 1 
 85 ,-163.9291 , 1 
 100 ,-225.2098 , 1 
