 8 ,-1 
 10 , 5450.9794 , 1 
 25 , 5390.326 , 1 
 40 , 5297.711 , 1 
 55 , 5204.8522 , 1 
 70 , 5110.2496 , 1 
 85 , 5005.5481 , 1 
 100 , 4888.5562 , 1 
 115 , 4776.9272 , 1 
