Latitude (N) = 48.2575; Longitude (E) = 16.4333; Altitude = 190; 
mperature [C]; Relative Humidity [%]; Global Horizontal Radiation [W/m2];  Diffuse Horizontal Radiation [W/m2]; Direct Horizontal Radiation [W/m2]
01.04.2009 00:00:00; 8.4; 87; 0; 0; 0
01.04.2009 01:00:00; 8.8; 86; 0; 0; 0
01.04.2009 02:00:00; 8.7; 86; 0; 0; 0
01.04.2009 03:00:00; 8.6; 88; 0; 0; 0
01.04.2009 04:00:00; 8.6; 89; 0; 0; 0
01.04.2009 05:00:00; 8.6; 89; 0; 0; 0
01.04.2009 06:00:00; 8.8; 89; 23; 21.2891; 1.71085
01.04.2009 07:00:00; 9.2; 87; 72; 67.8603; 4.13974
01.04.2009 08:00:00; 9.7; 85; 84; 80.6866; 3.31342
01.04.2009 09:00:00; 11.1; 80; 152; 143.981; 8.01881
01.04.2009 10:00:00; 12.4; 74; 286; 262.333; 23.6669
01.04.2009 11:00:00; 13.5; 67; 457; 307.021; 149.979
01.04.2009 12:00:00; 14; 66; 339; 309.785; 29.2155
01.04.2009 13:00:00; 14.1; 66; 243; 227.475; 15.5247
01.04.2009 14:00:00; 14.7; 66; 274; 252.137; 21.8632
01.04.2009 15:00:00; 14.7; 68; 206; 191.109; 14.891
01.04.2009 16:00:00; 14.5; 68; 102; 97.0244; 4.97559
01.04.2009 17:00:00; 14.2; 70; 50; 47.9327; 2.06732
01.04.2009 18:00:00; 13.8; 72; 5; 4.90556; 0.0944367
01.04.2009 19:00:00; 13.4; 72; 0; 0; 0
01.04.2009 20:00:00; 13.4; 73; 0; 0; 0
01.04.2009 21:00:00; 12.7; 74; 0; 0; 0
01.04.2009 22:00:00; 11.9; 75; 0; 0; 0
01.04.2009 23:00:00; 11.5; 78; 0; 0; 0
01.04.2009 24:00:00; 11.1; 78; 0; 0; 0
02.04.2009 01:00:00; 10.5; 78; 0; 0; 0
02.04.2009 02:00:00; 9.1; 83; 0; 0; 0
02.04.2009 03:00:00; 7.8; 87; 0; 0; 0
02.04.2009 04:00:00; 8.1; 83; 0; 0; 0
02.04.2009 05:00:00; 8.9; 78; 0; 0; 0
02.04.2009 06:00:00; 9.6; 73; 33; 27.875; 5.12504
02.04.2009 07:00:00; 10.7; 66; 131; 105.219; 25.7809
02.04.2009 08:00:00; 13.6; 59; 421; 74.517; 346.483
02.04.2009 09:00:00; 14.6; 59; 552; 97.704; 454.296
02.04.2009 10:00:00; 16.8; 51; 656; 116.112; 539.888
02.04.2009 11:00:00; 17.3; 44; 720; 127.44; 592.56
02.04.2009 12:00:00; 17.8; 44; 728; 143.953; 584.047
02.04.2009 13:00:00; 18.5; 41; 683; 162.584; 520.416
02.04.2009 14:00:00; 18.8; 43; 585; 179.125; 405.875
02.04.2009 15:00:00; 19.3; 43; 451; 178.784; 272.216
02.04.2009 16:00:00; 18.8; 43; 290; 157.392; 132.608
02.04.2009 17:00:00; 17.8; 45; 123; 100.735; 22.2647
02.04.2009 18:00:00; 15.8; 50; 12; 11.4998; 0.500246
02.04.2009 19:00:00; 12.3; 70; 0; 0; 0
02.04.2009 20:00:00; 10.5; 78; 0; 0; 0
02.04.2009 21:00:00; 9.5; 84; 0; 0; 0
02.04.2009 22:00:00; 8.6; 88; 0; 0; 0
02.04.2009 23:00:00; 7.7; 89; 0; 0; 0
03.04.2009 00:00:00; 7.2; 92; 0; 0; 0
03.04.2009 01:00:00; 6.4; 93; 0; 0; 0
03.04.2009 02:00:00; 5.5; 94; 0; 0; 0
03.04.2009 03:00:00; 4.9; 96; 0; 0; 0
03.04.2009 04:00:00; 4.7; 95; 0; 0; 0
03.04.2009 05:00:00; 4.5; 95; 0; 0; 0
03.04.2009 06:00:00; 7.4; 84; 0; 0; 0
03.04.2009 07:00:00; 11.3; 55; 252; 44.604; 207.396
03.04.2009 08:00:00; 13; 52; 412; 72.924; 339.076
03.04.2009 09:00:00; 15.2; 51; 559; 98.943; 460.057
03.04.2009 10:00:00; 16.3; 51; 667; 118.059; 548.941
03.04.2009 11:00:00; 17.7; 52; 727; 128.679; 598.321
03.04.2009 12:00:00; 19.4; 54; 732; 145.272; 586.728
03.04.2009 13:00:00; 20.3; 50; 688; 162.526; 525.474
03.04.2009 14:00:00; 20.8; 48; 593; 176.173; 416.827
03.04.2009 15:00:00; 20.2; 49; 452; 181.936; 270.064
03.04.2009 16:00:00; 19.8; 50; 294; 158.514; 135.486
03.04.2009 17:00:00; 19.1; 52; 117; 101.483; 15.5165
03.04.2009 18:00:00; 17.1; 60; 12; 11.5368; 0.463181
03.04.2009 19:00:00; 16; 69; 0; 0; 0
03.04.2009 20:00:00; 14.8; 74; 0; 0; 0
03.04.2009 21:00:00; 12.7; 81; 0; 0; 0
03.04.2009 22:00:00; 11.5; 88; 0; 0; 0
03.04.2009 23:00:00; 10.7; 90; 0; 0; 0
04.04.2009 00:00:00; 9.5; 93; 0; 0; 0
04.04.2009 01:00:00; 9.1; 93; 0; 0; 0
04.04.2009 02:00:00; 8.2; 95; 0; 0; 0
04.04.2009 03:00:00; 7.5; 95; 0; 0; 0
04.04.2009 04:00:00; 6.8; 96; 0; 0; 0
04.04.2009 05:00:00; 6.9; 96; 0; 0; 0
04.04.2009 06:00:00; 9.6; 92; 98; 17.346; 80.654
04.04.2009 07:00:00; 12.6; 79; 264; 46.728; 217.272
04.04.2009 08:00:00; 15; 69; 424; 75.048; 348.952
04.04.2009 09:00:00; 16.8; 63; 567; 100.359; 466.641
04.04.2009 10:00:00; 17.9; 59; 667; 118.059; 548.941
04.04.2009 11:00:00; 19.8; 55; 726; 129.367; 596.633
04.04.2009 12:00:00; 21.4; 45; 738; 144.186; 593.814
04.04.2009 13:00:00; 21.6; 42; 695; 160.209; 534.791
04.04.2009 14:00:00; 22.5; 43; 582; 190.962; 391.038
04.04.2009 15:00:00; 22.5; 42; 432; 199.443; 232.557
04.04.2009 16:00:00; 22.3; 40; 274; 169.287; 104.713
04.04.2009 17:00:00; 20.9; 41; 119; 103.254; 15.7457
04.04.2009 18:00:00; 17.2; 54; 13; 12.4938; 0.506243
04.04.2009 19:00:00; 14.9; 63; 0; 0; 0
04.04.2009 20:00:00; 13.3; 72; 0; 0; 0
04.04.2009 21:00:00; 12.4; 78; 0; 0; 0
04.04.2009 22:00:00; 11.2; 82; 0; 0; 0
04.04.2009 23:00:00; 11.1; 83; 0; 0; 0
05.04.2009 00:00:00; 9.6; 87; 0; 0; 0
05.04.2009 01:00:00; 9.2; 89; 0; 0; 0
05.04.2009 02:00:00; 9.2; 88; 0; 0; 0
05.04.2009 03:00:00; 8.8; 91; 0; 0; 0
05.04.2009 04:00:00; 8.5; 92; 0; 0; 0
05.04.2009 05:00:00; 8.7; 92; 0; 0; 0
05.04.2009 06:00:00; 11.3; 84; 103; 18.231; 84.769
05.04.2009 07:00:00; 14.8; 63; 234; 70.8387; 163.161
05.04.2009 08:00:00; 17.2; 56; 403; 94.0419; 308.958
05.04.2009 09:00:00; 18.5; 52; 539; 122.4; 416.6
05.04.2009 10:00:00; 19.9; 48; 623; 165.054; 457.946
05.04.2009 11:00:00; 21; 45; 675; 191.101; 483.899
05.04.2009 12:00:00; 22; 42; 643; 242.726; 400.274
05.04.2009 13:00:00; 22.7; 37; 602; 249.555; 352.445
05.04.2009 14:00:00; 22.7; 38; 480; 263.828; 216.172
05.04.2009 15:00:00; 23.2; 36; 437; 199.691; 237.309
05.04.2009 16:00:00; 22.6; 36; 325; 147.519; 177.481
05.04.2009 17:00:00; 21.3; 37; 128; 105.988; 22.0118
05.04.2009 18:00:00; 18.4; 45; 21; 19.7636; 1.23644
05.04.2009 19:00:00; 15.8; 55; 0; 0; 0
05.04.2009 20:00:00; 16.5; 57; 0; 0; 0
05.04.2009 21:00:00; 15.9; 62; 0; 0; 0
05.04.2009 22:00:00; 14.9; 71; 0; 0; 0
05.04.2009 23:00:00; 14.7; 79; 0; 0; 0
06.04.2009 00:00:00; 14.1; 82; 0; 0; 0
06.04.2009 01:00:00; 13.2; 84; 0; 0; 0
06.04.2009 02:00:00; 12.5; 85; 0; 0; 0
06.04.2009 03:00:00; 11.3; 88; 0; 0; 0
06.04.2009 04:00:00; 11.4; 88; 0; 0; 0
06.04.2009 05:00:00; 11.2; 89; 0; 0; 0
06.04.2009 06:00:00; 11.9; 87; 90; 15.93; 74.07
06.04.2009 07:00:00; 13.4; 81; 219; 89.55; 129.45
06.04.2009 08:00:00; 14.7; 75; 379; 124.393; 254.607
06.04.2009 09:00:00; 16.2; 70; 529; 139.493; 389.507
06.04.2009 10:00:00; 18.2; 65; 631; 162.664; 468.336
06.04.2009 11:00:00; 19.6; 58; 685; 186.463; 498.537
06.04.2009 12:00:00; 21.1; 49; 698; 198.115; 499.885
06.04.2009 13:00:00; 22.2; 44; 655; 210.179; 444.821
06.04.2009 14:00:00; 22.7; 41; 560; 217.703; 342.297
06.04.2009 15:00:00; 23.2; 38; 438; 202.453; 235.547
06.04.2009 16:00:00; 22.8; 35; 287; 169.965; 117.035
06.04.2009 17:00:00; 21.2; 38; 118; 105.732; 12.2677
06.04.2009 18:00:00; 18.9; 42; 14; 13.4834; 0.516602
06.04.2009 19:00:00; 16.2; 53; 0; 0; 0
06.04.2009 20:00:00; 13.8; 64; 0; 0; 0
06.04.2009 21:00:00; 13; 71; 0; 0; 0
06.04.2009 22:00:00; 12; 78; 0; 0; 0
06.04.2009 23:00:00; 10.7; 84; 0; 0; 0
07.04.2009 00:00:00; 9.7; 87; 0; 0; 0
07.04.2009 01:00:00; 9.2; 90; 0; 0; 0
07.04.2009 02:00:00; 9.1; 91; 0; 0; 0
07.04.2009 03:00:00; 8; 93; 0; 0; 0
07.04.2009 04:00:00; 7.8; 93; 0; 0; 0
07.04.2009 05:00:00; 7.8; 93; 0; 0; 0
07.04.2009 06:00:00; 10.1; 83; 100; 17.7; 82.3
07.04.2009 07:00:00; 13.1; 72; 255; 63.4024; 191.598
07.04.2009 08:00:00; 16.3; 56; 414; 95.8914; 318.109
07.04.2009 09:00:00; 18.2; 52; 557; 115.536; 441.464
07.04.2009 10:00:00; 19.1; 53; 660; 137.073; 522.927
07.04.2009 11:00:00; 21.6; 46; 720; 154.598; 565.402
07.04.2009 12:00:00; 22.9; 38; 717; 183.851; 533.149
07.04.2009 13:00:00; 23.5; 34; 683; 187.88; 495.12
07.04.2009 14:00:00; 23.7; 34; 579; 206.23; 372.77
07.04.2009 15:00:00; 23.9; 33; 437; 206.389; 230.611
07.04.2009 16:00:00; 23.1; 34; 278; 175.489; 102.511
07.04.2009 17:00:00; 21.8; 36; 113; 103.476; 9.52352
07.04.2009 18:00:00; 19.5; 41; 16; 15.3632; 0.636769
07.04.2009 19:00:00; 17.9; 45; 0; 0; 0
07.04.2009 20:00:00; 16.1; 53; 0; 0; 0
07.04.2009 21:00:00; 15.4; 57; 0; 0; 0
07.04.2009 22:00:00; 13.2; 69; 0; 0; 0
07.04.2009 23:00:00; 12.7; 72; 0; 0; 0
08.04.2009 00:00:00; 11.8; 76; 0; 0; 0
08.04.2009 01:00:00; 10; 84; 0; 0; 0
08.04.2009 02:00:00; 9.7; 87; 0; 0; 0
08.04.2009 03:00:00; 8.7; 90; 0; 0; 0
08.04.2009 04:00:00; 9.3; 89; 0; 0; 0
08.04.2009 05:00:00; 8.8; 90; 0; 0; 0
08.04.2009 06:00:00; 11.3; 81; 111; 19.647; 91.353
08.04.2009 07:00:00; 14.7; 64; 272; 51.742; 220.258
08.04.2009 08:00:00; 17; 54; 435; 78.9527; 356.047
08.04.2009 09:00:00; 18.5; 50; 579; 102.483; 476.517
08.04.2009 10:00:00; 19.9; 48; 672; 129.472; 542.528
08.04.2009 11:00:00; 21.1; 46; 720; 160.316; 559.684
08.04.2009 12:00:00; 22.2; 44; 719; 186.843; 532.157
08.04.2009 13:00:00; 23.2; 41; 0; 0; 0
08.04.2009 14:00:00; 23.8; 39; 548; 233.994; 314.006
08.04.2009 15:00:00; 24.2; 38; 413; 222.537; 190.463
08.04.2009 16:00:00; 21.8; 42; 105; 100.078; 4.92243
08.04.2009 17:00:00; 19.5; 46; 26; 25.5037; 0.496262
08.04.2009 18:00:00; 18.3; 49; 14; 13.5383; 0.461668
08.04.2009 19:00:00; 15.8; 63; 0; 0; 0
08.04.2009 20:00:00; 13.7; 79; 0; 0; 0
08.04.2009 21:00:00; 13.9; 77; 0; 0; 0
08.04.2009 22:00:00; 12.8; 82; 0; 0; 0
08.04.2009 23:00:00; 11.3; 86; 0; 0; 0
09.04.2009 00:00:00; 10.8; 89; 0; 0; 0
09.04.2009 01:00:00; 11.5; 87; 0; 0; 0
09.04.2009 02:00:00; 12.4; 84; 0; 0; 0
09.04.2009 03:00:00; 14; 79; 0; 0; 0
09.04.2009 04:00:00; 13.6; 80; 0; 0; 0
09.04.2009 05:00:00; 13.8; 80; 0; 0; 0
09.04.2009 06:00:00; 15.2; 76; 112; 19.824; 92.176
09.04.2009 07:00:00; 15.7; 72; 131; 119.462; 11.5383
09.04.2009 08:00:00; 18; 63; 306; 183.91; 122.09
09.04.2009 09:00:00; 19.4; 56; 562; 122.967; 439.033
09.04.2009 10:00:00; 20.9; 52; 665; 143.66; 521.34
09.04.2009 11:00:00; 21.8; 49; 712; 174.533; 537.467
09.04.2009 12:00:00; 22.3; 47; 716; 194.852; 521.148
09.04.2009 13:00:00; 23.4; 45; 695; 185.111; 509.889
09.04.2009 14:00:00; 23.3; 42; 529; 249.854; 279.146
09.04.2009 15:00:00; 23.4; 39; 447; 206.678; 240.322
09.04.2009 16:00:00; 23.5; 40; 278; 180.174; 97.8262
09.04.2009 17:00:00; 22.1; 42; 116; 106.273; 9.72656
09.04.2009 18:00:00; 20.2; 46; 20; 19.1051; 0.894947
09.04.2009 19:00:00; 17.8; 56; 0; 0; 0
09.04.2009 20:00:00; 15.4; 68; 0; 0; 0
09.04.2009 21:00:00; 13.9; 76; 0; 0; 0
09.04.2009 22:00:00; 13; 81; 0; 0; 0
09.04.2009 23:00:00; 12.2; 85; 0; 0; 0
10.04.2009 00:00:00; 11.5; 88; 0; 0; 0
10.04.2009 01:00:00; 11.4; 89; 0; 0; 0
10.04.2009 02:00:00; 10.3; 92; 0; 0; 0
10.04.2009 03:00:00; 9.7; 92; 0; 0; 0
10.04.2009 04:00:00; 8.5; 95; 0; 0; 0
10.04.2009 05:00:00; 8.9; 96; 0; 0; 0
10.04.2009 06:00:00; 11.8; 86; 121; 21.417; 99.583
10.04.2009 07:00:00; 15.1; 71; 291; 51.507; 239.493
10.04.2009 08:00:00; 17.2; 62; 467; 82.659; 384.341
10.04.2009 09:00:00; 19.9; 52; 599; 106.023; 492.977
10.04.2009 10:00:00; 21.8; 46; 692; 122.484; 569.516
10.04.2009 11:00:00; 23.5; 43; 755; 133.635; 621.365
10.04.2009 12:00:00; 24.8; 37; 769; 141.658; 627.342
10.04.2009 13:00:00; 24.8; 34; 717; 166.583; 550.417
10.04.2009 14:00:00; 25.2; 30; 624; 177.58; 446.42
10.04.2009 15:00:00; 25.1; 27; 488; 180.461; 307.539
10.04.2009 16:00:00; 24.6; 26; 329; 161.516; 167.484
10.04.2009 17:00:00; 23.4; 28; 142; 115.006; 26.9943
10.04.2009 18:00:00; 21.2; 30; 25; 23.6681; 1.33193
10.04.2009 19:00:00; 18.9; 33; 0; 0; 0
10.04.2009 20:00:00; 18.6; 37; 0; 0; 0
10.04.2009 21:00:00; 17.7; 39; 0; 0; 0
10.04.2009 22:00:00; 13.9; 54; 0; 0; 0
10.04.2009 23:00:00; 11.3; 73; 0; 0; 0
11.04.2009 00:00:00; 10; 79; 0; 0; 0
11.04.2009 01:00:00; 9.2; 82; 0; 0; 0
11.04.2009 02:00:00; 8.5; 85; 0; 0; 0
11.04.2009 03:00:00; 7.6; 88; 0; 0; 0
11.04.2009 04:00:00; 7.6; 90; 0; 0; 0
11.04.2009 05:00:00; 7; 91; 0; 0; 0
11.04.2009 06:00:00; 10.7; 77; 141; 24.957; 116.043
11.04.2009 07:00:00; 14; 60; 314; 55.578; 258.422
11.04.2009 08:00:00; 16.5; 54; 486; 86.022; 399.978
11.04.2009 09:00:00; 19.2; 48; 627; 110.979; 516.021
11.04.2009 10:00:00; 21.4; 42; 721; 127.617; 593.383
11.04.2009 11:00:00; 23.1; 40; 766; 135.582; 630.418
11.04.2009 12:00:00; 24.3; 37; 769; 147.034; 621.966
11.04.2009 13:00:00; 25.8; 33; 716; 172.442; 543.558
11.04.2009 14:00:00; 26.7; 28; 612; 193.273; 418.727
11.04.2009 15:00:00; 26.2; 29; 472; 196.402; 275.598
11.04.2009 16:00:00; 25.4; 28; 300; 178.015; 121.985
11.04.2009 17:00:00; 24.2; 29; 131; 115.004; 15.9958
11.04.2009 18:00:00; 20.4; 37; 23; 21.9235; 1.07648
11.04.2009 19:00:00; 20.3; 38; 0; 0; 0
11.04.2009 20:00:00; 18.7; 40; 0; 0; 0
11.04.2009 21:00:00; 17.3; 44; 0; 0; 0
11.04.2009 22:00:00; 15.9; 47; 0; 0; 0
11.04.2009 23:00:00; 11.9; 71; 0; 0; 0
12.04.2009 00:00:00; 12; 73; 0; 0; 0
12.04.2009 01:00:00; 10.6; 79; 0; 0; 0
12.04.2009 02:00:00; 9.7; 83; 0; 0; 0
12.04.2009 03:00:00; 9.5; 84; 0; 0; 0
12.04.2009 04:00:00; 8.8; 86; 0; 0; 0
12.04.2009 05:00:00; 9.2; 88; 0; 0; 0
12.04.2009 06:00:00; 11.5; 82; 145; 25.665; 119.335
12.04.2009 07:00:00; 13.5; 77; 312; 55.224; 256.776
12.04.2009 08:00:00; 15.2; 72; 475; 84.075; 390.925
12.04.2009 09:00:00; 17.2; 64; 617; 109.209; 507.791
12.04.2009 10:00:00; 19.1; 59; 718; 127.086; 590.914
12.04.2009 11:00:00; 20.4; 53; 773; 136.821; 636.179
12.04.2009 12:00:00; 21.7; 48; 769; 152.268; 616.732
12.04.2009 13:00:00; 23.1; 41; 720; 172.809; 547.191
12.04.2009 14:00:00; 24.3; 39; 612; 197.302; 414.698
12.04.2009 15:00:00; 25.3; 38; 472; 199.801; 272.199
12.04.2009 16:00:00; 23.8; 37; 307; 177.859; 129.141
12.04.2009 17:00:00; 22.2; 40; 133; 116.698; 16.3017
12.04.2009 18:00:00; 19.4; 48; 23; 21.9698; 1.03025
12.04.2009 19:00:00; 19.1; 49; 0; 0; 0
12.04.2009 20:00:00; 16.3; 62; 0; 0; 0
12.04.2009 21:00:00; 14; 69; 0; 0; 0
12.04.2009 22:00:00; 13.1; 71; 0; 0; 0
12.04.2009 23:00:00; 12; 76; 0; 0; 0
13.04.2009 00:00:00; 11.4; 80; 0; 0; 0
13.04.2009 01:00:00; 11.1; 80; 0; 0; 0
13.04.2009 02:00:00; 10.3; 85; 0; 0; 0
13.04.2009 03:00:00; 9.8; 86; 0; 0; 0
13.04.2009 04:00:00; 9.1; 89; 0; 0; 0
13.04.2009 05:00:00; 8.8; 91; 0; 0; 0
13.04.2009 06:00:00; 10.5; 86; 133; 23.541; 109.459
13.04.2009 07:00:00; 12.4; 80; 290; 67.3175; 222.682
13.04.2009 08:00:00; 14.5; 70; 441; 106.025; 334.975
13.04.2009 09:00:00; 15.9; 66; 579; 128.805; 450.195
13.04.2009 10:00:00; 17.4; 61; 682; 147.8; 534.2
13.04.2009 11:00:00; 19.1; 55; 742; 162.958; 579.042
13.04.2009 12:00:00; 19.6; 53; 748; 180.689; 567.311
13.04.2009 13:00:00; 20.5; 51; 696; 201.879; 494.121
13.04.2009 14:00:00; 21.1; 47; 605; 207.429; 397.571
13.04.2009 15:00:00; 21.5; 45; 468; 205.863; 262.137
13.04.2009 16:00:00; 21.4; 43; 307; 180.383; 126.617
13.04.2009 17:00:00; 19.9; 47; 132; 117.746; 14.2535
13.04.2009 18:00:00; 17.4; 56; 26; 24.7374; 1.26262
13.04.2009 19:00:00; 14.4; 70; 0; 0; 0
13.04.2009 20:00:00; 13.2; 77; 0; 0; 0
13.04.2009 21:00:00; 12.1; 82; 0; 0; 0
13.04.2009 22:00:00; 11.8; 82; 0; 0; 0
13.04.2009 23:00:00; 11.2; 84; 0; 0; 0
14.04.2009 00:00:00; 11.4; 84; 0; 0; 0
14.04.2009 01:00:00; 10.4; 88; 0; 0; 0
14.04.2009 02:00:00; 11; 87; 0; 0; 0
14.04.2009 03:00:00; 10.6; 87; 0; 0; 0
14.04.2009 04:00:00; 9.6; 90; 0; 0; 0
14.04.2009 05:00:00; 9.8; 90; 0; 0; 0
14.04.2009 06:00:00; 11; 86; 141; 24.957; 116.043
14.04.2009 07:00:00; 12.9; 79; 312; 55.224; 256.776
14.04.2009 08:00:00; 14.3; 75; 490; 86.73; 403.27
14.04.2009 09:00:00; 16.4; 68; 641; 113.457; 527.543
14.04.2009 10:00:00; 17.9; 62; 744; 131.688; 612.312
14.04.2009 11:00:00; 19.4; 49; 801; 141.777; 659.223
14.04.2009 12:00:00; 20.4; 45; 805; 142.485; 662.515
14.04.2009 13:00:00; 21.6; 39; 756; 141.627; 614.373
14.04.2009 14:00:00; 21.9; 34; 657; 161.11; 495.89
14.04.2009 15:00:00; 21.7; 32; 523; 165.362; 357.638
14.04.2009 16:00:00; 21; 36; 349; 161.948; 187.052
14.04.2009 17:00:00; 19.4; 41; 146; 121.414; 24.5857
14.04.2009 18:00:00; 16.9; 46; 29; 27.4907; 1.50934
14.04.2009 19:00:00; 13.3; 61; 0; 0; 0
14.04.2009 20:00:00; 12.6; 65; 0; 0; 0
14.04.2009 21:00:00; 12.4; 69; 0; 0; 0
14.04.2009 22:00:00; 10.9; 76; 0; 0; 0
14.04.2009 23:00:00; 10.8; 79; 0; 0; 0
15.04.2009 00:00:00; 10; 84; 0; 0; 0
15.04.2009 01:00:00; 9.7; 85; 0; 0; 0
15.04.2009 02:00:00; 9.1; 87; 0; 0; 0
15.04.2009 03:00:00; 8.6; 90; 0; 0; 0
15.04.2009 04:00:00; 7.9; 93; 0; 0; 0
15.04.2009 05:00:00; 8.3; 93; 0; 0; 0
15.04.2009 06:00:00; 10.9; 85; 153; 27.081; 125.919
15.04.2009 07:00:00; 13.6; 75; 321; 56.817; 264.183
15.04.2009 08:00:00; 15.3; 69; 488; 86.376; 401.624
15.04.2009 09:00:00; 17.5; 63; 623; 110.271; 512.729
15.04.2009 10:00:00; 18.9; 59; 714; 126.378; 587.622
15.04.2009 11:00:00; 20.3; 52; 767; 144.733; 622.267
15.04.2009 12:00:00; 21.9; 49; 761; 176.01; 584.99
15.04.2009 13:00:00; 22.3; 46; 710; 196.403; 513.597
15.04.2009 14:00:00; 23.4; 40; 617; 204.373; 412.627
15.04.2009 15:00:00; 23.4; 34; 496; 192.078; 303.922
15.04.2009 16:00:00; 22.7; 32; 333; 174.023; 158.977
15.04.2009 17:00:00; 21.6; 33; 154; 123.532; 30.4684
15.04.2009 18:00:00; 19.6; 41; 32; 30.231; 1.76898
15.04.2009 19:00:00; 17.8; 49; 0; 0; 0
15.04.2009 20:00:00; 16.4; 55; 0; 0; 0
15.04.2009 21:00:00; 14.9; 62; 0; 0; 0
15.04.2009 22:00:00; 13.1; 73; 0; 0; 0
15.04.2009 23:00:00; 10.8; 83; 0; 0; 0
16.04.2009 00:00:00; 10.4; 85; 0; 0; 0
16.04.2009 01:00:00; 9.1; 90; 0; 0; 0
16.04.2009 02:00:00; 8.6; 92; 0; 0; 0
16.04.2009 03:00:00; 8.3; 93; 0; 0; 0
16.04.2009 04:00:00; 7.7; 94; 0; 0; 0
16.04.2009 05:00:00; 9.4; 89; 0; 0; 0
16.04.2009 06:00:00; 12.2; 77; 150; 26.55; 123.45
16.04.2009 07:00:00; 14.3; 69; 314; 60.6465; 253.354
16.04.2009 08:00:00; 15.8; 62; 484; 85.668; 398.332
16.04.2009 09:00:00; 17.8; 59; 628; 111.156; 516.844
16.04.2009 10:00:00; 19.5; 54; 718; 127.086; 590.914
16.04.2009 11:00:00; 21; 51; 762; 155.715; 606.285
16.04.2009 12:00:00; 22.1; 47; 761; 180.605; 580.395
16.04.2009 13:00:00; 23; 44; 699; 211.211; 487.789
16.04.2009 14:00:00; 23.6; 42; 540; 264.307; 275.693
16.04.2009 15:00:00; 23.9; 39; 498; 193.926; 304.074
16.04.2009 16:00:00; 23.4; 40; 210; 191.07; 18.9302
16.04.2009 17:00:00; 22.5; 39; 128; 117.275; 10.7246
16.04.2009 18:00:00; 21.1; 42; 21; 20.2655; 0.73451
16.04.2009 19:00:00; 19.7; 43; 0; 0; 0
16.04.2009 20:00:00; 18.8; 46; 0; 0; 0
16.04.2009 21:00:00; 17.8; 48; 0; 0; 0
16.04.2009 22:00:00; 17.2; 48; 0; 0; 0
16.04.2009 23:00:00; 16.6; 49; 0; 0; 0
17.04.2009 00:00:00; 16.1; 51; 0; 0; 0
17.04.2009 01:00:00; 16.3; 51; 0; 0; 0
17.04.2009 02:00:00; 13.7; 59; 0; 0; 0
17.04.2009 03:00:00; 11.9; 72; 0; 0; 0
17.04.2009 04:00:00; 10.7; 79; 0; 0; 0
17.04.2009 05:00:00; 12.7; 75; 0; 0; 0
17.04.2009 06:00:00; 13.1; 77; 65; 59.7772; 5.22278
17.04.2009 07:00:00; 13.8; 74; 107; 100.376; 6.62391
17.04.2009 08:00:00; 14.1; 71; 139; 131.508; 7.49202
17.04.2009 09:00:00; 14.7; 67; 209; 195.773; 13.2274
17.04.2009 10:00:00; 14; 68; 226; 212.732; 13.2683
17.04.2009 11:00:00; 14; 66; 158; 152.032; 5.96791
17.04.2009 12:00:00; 13; 73; 49; 48.4391; 0.560943
17.04.2009 13:00:00; 14.2; 67; 106; 103.282; 2.71755
17.04.2009 14:00:00; 16.9; 59; 501; 286.224; 214.776
17.04.2009 15:00:00; 16.3; 58; 403; 248.879; 154.121
17.04.2009 16:00:00; 16; 56; 242; 197.729; 44.2705
17.04.2009 17:00:00; 15.7; 60; 182; 125.218; 56.7825
17.04.2009 18:00:00; 14.4; 61; 28; 26.7391; 1.26086
17.04.2009 19:00:00; 13.5; 62; 0; 0; 0
17.04.2009 20:00:00; 12.5; 66; 0; 0; 0
17.04.2009 21:00:00; 12.9; 67; 0; 0; 0
17.04.2009 22:00:00; 12.8; 68; 0; 0; 0
17.04.2009 23:00:00; 13; 68; 0; 0; 0
18.04.2009 00:00:00; 11; 76; 0; 0; 0
18.04.2009 01:00:00; 9; 88; 0; 0; 0
18.04.2009 02:00:00; 8.8; 90; 0; 0; 0
18.04.2009 03:00:00; 7.7; 93; 0; 0; 0
18.04.2009 04:00:00; 8.5; 94; 0; 0; 0
18.04.2009 05:00:00; 9.3; 90; 0; 0; 0
18.04.2009 06:00:00; 11; 83; 164; 29.028; 134.972
18.04.2009 07:00:00; 12.9; 76; 361; 63.897; 297.103
18.04.2009 08:00:00; 15; 67; 525; 92.925; 432.075
18.04.2009 09:00:00; 16.6; 59; 662; 117.174; 544.826
18.04.2009 10:00:00; 17.5; 53; 741; 131.157; 609.843
18.04.2009 11:00:00; 17.8; 51; 557; 321.764; 235.236
18.04.2009 12:00:00; 18.7; 47; 423; 351.048; 71.9518
18.04.2009 13:00:00; 19.2; 48; 459; 339.753; 119.247
18.04.2009 14:00:00; 19; 48; 581; 243.598; 337.402
18.04.2009 15:00:00; 17; 53; 459; 226.309; 232.691
18.04.2009 16:00:00; 16.3; 60; 237; 198.583; 38.4171
18.04.2009 17:00:00; 16.8; 57; 182; 127.214; 54.7863
18.04.2009 18:00:00; 15.4; 60; 43; 40.1247; 2.87533
18.04.2009 19:00:00; 14.1; 66; 0; 0; 0
18.04.2009 20:00:00; 11.7; 81; 0; 0; 0
18.04.2009 21:00:00; 10.4; 87; 0; 0; 0
18.04.2009 22:00:00; 9.8; 90; 0; 0; 0
